Age	Index	p_ph2h	p_ph2hs	p_ph2hhf	p_ph2hm	p_h2s	p_h2hf	p_h2m	p_d
46	1	0.078267947	0.001087987	0.001644515	0.000458389	0.002715	0.002352	0.001311	0.002611198
47	2	0.079553352	0.001170333	0.001713388	0.000477153	0.002921	0.00245	0.001365	0.002611198
48	3	0.080858927	0.001258907	0.001785133	0.000496686	0.003142	0.002553	0.001421	0.002611198
49	4	0.082184958	0.00135418	0.001859868	0.000517017	0.003379	0.002659	0.001479	0.002611198
50	5	0.083531731	0.001456658	0.001937717	0.000538181	0.003635	0.002771	0.001539	0.004181822
51	6	0.084899539	0.001566885	0.002018807	0.00056021	0.003909	0.002886	0.001602	0.004181822
52	7	0.086288672	0.001685446	0.002103274	0.000583142	0.004205	0.003007	0.001668	0.004181822
53	8	0.087699429	0.00181297	0.002191255	0.000607011	0.004522	0.003132	0.001736	0.004181822
54	9	0.089132107	0.001950133	0.002282895	0.000631857	0.004864	0.003263	0.001807	0.004181822
55	10	0.090587009	0.002097663	0.002378346	0.00065772	0.005231	0.003399	0.001881	0.006185701
56	11	0.092064439	0.002256341	0.002477762	0.000684641	0.005627	0.003541	0.001958	0.006185701
57	12	0.093564705	0.002427007	0.002581307	0.000712664	0.006051	0.003688	0.002038	0.006185701
58	13	0.095088117	0.002610566	0.00268915	0.000741833	0.006508	0.003842	0.002121	0.006185701
59	14	0.096634987	0.002807987	0.002801467	0.000772196	0.006999	0.004002	0.002208	0.006185701
60	15	0.098205632	0.003020316	0.002918441	0.000803801	0.007527	0.004168	0.002298	0.010307135
61	16	0.099800369	0.003248675	0.003040262	0.000836699	0.008095	0.004342	0.002392	0.010307135
62	17	0.10141952	0.003494268	0.003167127	0.000870943	0.008705	0.004522	0.00249	0.010307135
63	18	0.103063408	0.003758393	0.003299243	0.000906587	0.009362	0.00471	0.002592	0.010307135
64	19	0.104732359	0.004042442	0.003436822	0.00094369	0.010067	0.004906	0.002698	0.010307135
65	20	0.106426701	0.004347912	0.003580088	0.00098231	0.010825	0.00511	0.002808	0.017206442
66	21	0.108146767	0.004676411	0.003729269	0.001022511	0.01164	0.005322	0.002923	0.017206442
67	22	0.109892888	0.005029666	0.003884607	0.001064355	0.012516	0.005543	0.003042	0.017206442
68	23	0.1116654	0.005409533	0.004046349	0.001107911	0.013458	0.005772	0.003167	0.017206442
69	24	0.113464643	0.005818006	0.004214754	0.001153248	0.014469	0.006012	0.003296	0.017206442
70	25	0.115290955	0.006257225	0.004390092	0.00120044	0.015557	0.006261	0.003431	0.030639109
71	26	0.11714468	0.006729491	0.00457264	0.001249561	0.016725	0.00652	0.003571	0.030639109
72	27	0.119026161	0.00723727	0.004762688	0.001300691	0.01798	0.006789	0.003717	0.030639109
73	28	0.120935746	0.007783214	0.004960537	0.001353912	0.019328	0.00707	0.003869	0.030639109
74	29	0.122873782	0.008370168	0.005166498	0.001409309	0.020777	0.007362	0.004027	0.030639109
75	30	0.12484062	0.009001184	0.005380896	0.001466971	0.022333	0.007665	0.004192	0.049523485
76	31	0.126836611	0.009679539	0.005604065	0.00152699	0.024003	0.007981	0.004363	0.049523485
77	32	0.12886211	0.010408748	0.005836356	0.001589463	0.025798	0.00831	0.004541	0.049523485
78	33	0.130917471	0.01119258	0.006078128	0.00165449	0.027724	0.008652	0.004727	0.049523485
79	34	0.133003051	0.01203508	0.006329756	0.001722174	0.029792	0.009008	0.00492	0.049523485
80	35	0.135119208	0.012940581	0.00659163	0.001792626	0.032012	0.009378	0.005121	0.084809184
81	36	0.137266302	0.01391373	0.006864151	0.001865956	0.034394	0.009763	0.00533	0.084809184
82	37	0.139444692	0.014959505	0.007147738	0.001942284	0.03695	0.010163	0.005548	0.084809184
83	38	0.14165474	0.016083238	0.007442822	0.00202173	0.039691	0.01058	0.005774	0.084809184
84	39	0.143896808	0.017290642	0.007749852	0.002104423	0.042632	0.011013	0.00601	0.084809184
85	40	0.146171259	0.018587828	0.00806929	0.002190494	0.045786	0.011463	0.006255	0.127425393
86	41	0.148478457	0.019981339	0.008401618	0.002280082	0.049167	0.01193	0.00651	0.127425393
87	42	0.150818765	0.021478173	0.008747333	0.002373329	0.05279	0.012417	0.006776	0.127425393
88	43	0.153192547	0.023085811	0.009106948	0.002470385	0.056673	0.012923	0.007052	0.127425393
89	44	0.155600169	0.024812246	0.009480996	0.002571405	0.060831	0.013448	0.00734	0.127425393
90	45	0.158041994	0.02666602	0.009870026	0.00267655	0.065284	0.013994	0.00764	0.190782075
91	46	0.160518387	0.028656247	0.010274608	0.002785989	0.070051	0.014562	0.007951	0.190782075
92	47	0.163029711	0.030792651	0.010695328	0.002899895	0.075152	0.015151	0.008275	0.190782075
93	48	0.16557633	0.033085601	0.011132794	0.003018452	0.080608	0.015764	0.008613	0.190782075
94	49	0.168158605	0.035546141	0.011587634	0.003141849	0.08644	0.0164	0.008964	0.190782075
95	50	0.170776899	0.038186029	0.012060493	0.003270281	0.092674	0.017061	0.009329	0.217103562
96	51	0.173431571	0.04101777	0.01255204	0.003403955	0.099332	0.017747	0.009709	0.217103562
97	52	0.176122981	0.044054653	0.013062963	0.003543083	0.106439	0.01846	0.010105	0.217103562
98	53	0.178851486	0.047310784	0.013593972	0.003687887	0.114023	0.0192	0.010516	0.217103562
99	54	0.181617442	0.050801123	0.0141458	0.003838597	0.122108	0.019968	0.010944	0.217103562
100	55	0.184421201	0.054541511	0.014719199	0.003995454	0.130724	0.020765	0.01139	0.45434501
