Age	Index	p_ph2h	p_ph2hs	p_ph2hhf	p_ph2hm	p_h2s	p_h2hf	p_h2m	p_d
46	1	0.113553499	0.001286133	0.001732264	0.000532252	0.002715	0.002352	0.001311	0.002611198
47	2	0.115381146	0.001383465	0.001804796	0.000554039	0.002921	0.00245	0.001365	0.002611198
48	3	0.117236223	0.001488158	0.00188035	0.000576718	0.003142	0.002553	0.001421	0.002611198
49	4	0.119119073	0.001600767	0.001959052	0.000600324	0.003379	0.002659	0.001479	0.002611198
50	5	0.121030044	0.001721889	0.002041031	0.000624897	0.003635	0.002771	0.001539	0.004181822
51	6	0.122969483	0.001852168	0.002126423	0.000650475	0.003909	0.002886	0.001602	0.004181822
52	7	0.124937741	0.001992294	0.002215367	0.0006771	0.004205	0.003007	0.001668	0.004181822
53	8	0.12693517	0.00214301	0.00230801	0.000704814	0.004522	0.003132	0.001736	0.004181822
54	9	0.128962124	0.002305114	0.002404504	0.000733662	0.004864	0.003263	0.001807	0.004181822
55	10	0.131018957	0.002479465	0.002505006	0.00076369	0.005231	0.003399	0.001881	0.006185701
56	11	0.133106027	0.002666985	0.002609683	0.000794947	0.005627	0.003541	0.001958	0.006185701
57	12	0.135223692	0.002868667	0.002718703	0.000827483	0.006051	0.003688	0.002038	0.006185701
58	13	0.137372311	0.003085578	0.002832246	0.00086135	0.006508	0.003842	0.002121	0.006185701
59	14	0.139552244	0.003318862	0.002950495	0.000896602	0.006999	0.004002	0.002208	0.006185701
60	15	0.141763852	0.003569752	0.003073644	0.000933296	0.007527	0.004168	0.002298	0.010307135
61	16	0.144007499	0.003839572	0.003201891	0.000971491	0.008095	0.004342	0.002392	0.010307135
62	17	0.146283546	0.004129743	0.003335445	0.001011249	0.008705	0.004522	0.00249	0.010307135
63	18	0.148592357	0.004441795	0.003474521	0.001052633	0.009362	0.00471	0.002592	0.010307135
64	19	0.150934297	0.00477737	0.003619343	0.001095709	0.010067	0.004906	0.002698	0.010307135
65	20	0.15330973	0.005138232	0.003770145	0.001140548	0.010825	0.00511	0.002808	0.017206442
66	21	0.155719019	0.005526276	0.003927169	0.00118722	0.01164	0.005322	0.002923	0.017206442
67	22	0.158162529	0.005943538	0.004090665	0.0012358	0.012516	0.005543	0.003042	0.017206442
68	23	0.160640625	0.006392203	0.004260895	0.001286368	0.013458	0.005772	0.003167	0.017206442
69	24	0.16315367	0.006874621	0.004438131	0.001339003	0.014469	0.006012	0.003296	0.017206442
70	25	0.165702027	0.00739331	0.004622653	0.00139379	0.015557	0.006261	0.003431	0.030639109
71	26	0.168286059	0.007950978	0.004814755	0.001450817	0.016725	0.00652	0.003571	0.030639109
72	27	0.170906127	0.008550528	0.005014739	0.001510176	0.01798	0.006789	0.003717	0.030639109
73	28	0.173562592	0.009195079	0.005222922	0.001571962	0.019328	0.00707	0.003869	0.030639109
74	29	0.176255811	0.009887973	0.005439629	0.001636273	0.020777	0.007362	0.004027	0.030639109
75	30	0.178986143	0.0106328	0.0056652	0.001703214	0.022333	0.007665	0.004192	0.049523485
76	31	0.181753942	0.011433407	0.005899987	0.00177289	0.024003	0.007981	0.004363	0.049523485
77	32	0.184559563	0.012293922	0.006144354	0.001845414	0.025798	0.00831	0.004541	0.049523485
78	33	0.187403355	0.013218767	0.00639868	0.001920902	0.027724	0.008652	0.004727	0.049523485
79	34	0.190285668	0.014212685	0.006663358	0.001999475	0.029792	0.009008	0.00492	0.049523485
80	35	0.193206847	0.015280755	0.006938793	0.002081258	0.032012	0.009378	0.005121	0.084809184
81	36	0.196167234	0.016428418	0.007225408	0.002166383	0.034394	0.009763	0.00533	0.084809184
82	37	0.199167169	0.017661502	0.007523638	0.002254985	0.03695	0.010163	0.005548	0.084809184
83	38	0.202206986	0.018986241	0.007833936	0.002347207	0.039691	0.01058	0.005774	0.084809184
84	39	0.205287017	0.02040931	0.008156769	0.002443196	0.042632	0.011013	0.00601	0.084809184
85	40	0.20840759	0.021937843	0.008492623	0.002543106	0.045786	0.011463	0.006255	0.127425393
86	41	0.211569025	0.02357947	0.008841999	0.002647096	0.049167	0.01193	0.00651	0.127425393
87	42	0.214771642	0.025342343	0.009205416	0.002755332	0.05279	0.012417	0.006776	0.127425393
88	43	0.218015752	0.027235165	0.009583411	0.002867987	0.056673	0.012923	0.007052	0.127425393
89	44	0.221301662	0.029267228	0.009976539	0.002985241	0.060831	0.013448	0.00734	0.127425393
90	45	0.224629672	0.031448442	0.010385372	0.003107282	0.065284	0.013994	0.00764	0.190782075
91	46	0.228000077	0.033789368	0.010810505	0.003234304	0.070051	0.014562	0.007951	0.190782075
92	47	0.231413165	0.036301257	0.01125255	0.003366509	0.075152	0.015151	0.008275	0.190782075
93	48	0.234869215	0.038996083	0.011712138	0.003504109	0.080608	0.015764	0.008613	0.190782075
94	49	0.238368501	0.041886576	0.012189922	0.003647323	0.08644	0.0164	0.008964	0.190782075
95	50	0.241911288	0.044986263	0.012686576	0.003796379	0.092674	0.017061	0.009329	0.217103562
96	51	0.245497833	0.048309495	0.013202793	0.003951515	0.099332	0.017747	0.009709	0.217103562
97	52	0.249128384	0.051871488	0.01373929	0.004112977	0.106439	0.01846	0.010105	0.217103562
98	53	0.252803181	0.055688349	0.014296804	0.004281022	0.114023	0.0192	0.010516	0.217103562
99	54	0.256522451	0.05977711	0.014876095	0.004455917	0.122108	0.019968	0.010944	0.217103562
100	55	0.260286416	0.064155751	0.015477945	0.004637941	0.130724	0.020765	0.01139	0.45434501
